TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
3498WTRMCM4199S,TARMAC AMERICA-FT PIERCE RMC PLANT,4199 SELVITZ RD,FORT PIERCE,ST LUCIE,FL,34982,27.389017,-80.36651,LEAD
32514BLZRB3300M,BLAZER BOATS INC,3300 METZGER LN,PENSACOLA,ESCAMBIA,FL,32514,30.52342,-87.19456,STYRENE
3390WMNTRS21SIX,MUNTERS CORP,210 SIXTH ST,FORT MYERS,LEE,FL,33907,26.57966,-81.85644,CHROMIUM
32763TGLFD1675S,DEAN DAIRY HOLDINGS LLC DBA TG LEE DAIRY,1675 STATE RD 472,ORANGE CITY,VOLUSIA,FL,32763,28.969183,-81.279856,NITRIC ACID
33309FHPMN601NW,FHP MANUFACTURING CO,601 NW 65TH CT,FORT LAUDERDALE,BROWARD,FL,33309,26.20746,-80.15228,MANGANESE
32955RCHRD200PA,RICHARD'S PAINT MANUFACTURING INC,200 PAINT ST,ROCKLEDGE,BREVARD,FL,32955,28.264579,-80.690257,XYLENE (MIXED ISOMERS)
32402RZNCHEVERE,ARIZONA CHEMICAL,2 S EVERITT AVE,PANAMA CITY,BAY,FL,32401,30.145715,-85.621033,ETHYLBENZENE
32402RZNCHEVERE,ARIZONA CHEMICAL,2 S EVERITT AVE,PANAMA CITY,BAY,FL,32401,30.145715,-85.621033,STYRENE
33316MBLLP1150S,EXXONMOBIL OIL CORP PORT EVERGLADES TERMINAL,1150 SPANGLER BLVD,FORT LAUDERDALE,BROWARD,FL,33316,26.092547,-80.130654,ETHYLBENZENE
33316MBLLP1150S,EXXONMOBIL OIL CORP PORT EVERGLADES TERMINAL,1150 SPANGLER BLVD,FORT LAUDERDALE,BROWARD,FL,33316,26.092547,-80.130654,POLYCYCLIC AROMATIC COMPOUNDS
33316MBLLP1150S,EXXONMOBIL OIL CORP PORT EVERGLADES TERMINAL,1150 SPANGLER BLVD,FORT LAUDERDALE,BROWARD,FL,33316,26.092547,-80.130654,BENZENE
33316MRTHN161SE,MARATHON PETROLEUM CO - FT LAUDERDALE EISENHOWER,1601 SE 20TH ST,FT LAUDERDALE,BROWARD,FL,33316,26.09678,-80.12632,XYLENE (MIXED ISOMERS)
33138MCRTH6851N,MC ARTHUR DAIRY LLC,6851 NE 2ND AVE,MIAMI,MIAMI-DADE,FL,33138,25.83765,-80.19241,NITRATE COMPOUNDS
33138MCRTH6851N,MC ARTHUR DAIRY LLC,6851 NE 2ND AVE,MIAMI,MIAMI-DADE,FL,33138,25.83765,-80.19241,NITRIC ACID
32091DPNTCSTATE,DUPONT CHEMICALS - STARKE FACILITY,STATE RD 230 E,STARKE,CLAY,FL,32091,29.92338,-82.06255,"BENZO(G,H,I)PERYLENE"
