FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
DUPONT DELISLE PLANT,7685 KILN-DELISLE RD,PASS CHRISTIAN,HARRISON,MS,395710430,30.380556,-89.307778,MERCURY COMPOUNDS
DUPONT DELISLE PLANT,7685 KILN-DELISLE RD,PASS CHRISTIAN,HARRISON,MS,395710430,30.380556,-89.307778,MANGANESE COMPOUNDS
MISSISSIPPI POWER CO - PLANT WATSON,INTERSTATE 10 & LORRAINE RD,GULFPORT,HARRISON,MS,39502,30.439484,-89.027109,MANGANESE COMPOUNDS
MISSISSIPPI POWER CO - PLANT WATSON,INTERSTATE 10 & LORRAINE RD,GULFPORT,HARRISON,MS,39502,30.439484,-89.027109,BARIUM COMPOUNDS
TOWER AUTOMOTIVE,6305 ST LOUIS ST,MERIDIAN,LAUDERDALE,MS,39307,32.327303,-88.739071,MANGANESE
RESINALL MISSISSIPPI INC,102 DIXIE PINE RD,HATTIESBURG,FORREST,MS,39401,31.295842,-89.274444,STYRENE
MASTER-BILT PRODUCTS,"908 HWY 15, N",NEW ALBANY,UNION,MS,38652,34.542792,-88.990008,METHYL ISOBUTYL KETONE
NUCOR STEEL JACKSON INC,3630 FOURTH ST,FLOWOOD,RANKIN,MS,392322000,32.312222,-90.138889,COPPER COMPOUNDS
NUCOR STEEL JACKSON INC,3630 FOURTH ST,FLOWOOD,RANKIN,MS,392322000,32.312222,-90.138889,BARIUM COMPOUNDS
UNIFIED BRANDS/GROEN,1055 MENDELL DAVIS DR,JACKSON,HINDS,MS,39272,32.167637,-90.262475,COBALT
UNIFIED BRANDS/GROEN,1055 MENDELL DAVIS DR,JACKSON,HINDS,MS,39272,32.167637,-90.262475,MANGANESE
MARTIN OPERATING PTNR - PASCAGOULA,5320 INGALLS AVE,PASCAGOULA,JACKSON,MS,39581,30.35489,-88.50842,POLYCYCLIC AROMATIC COMPOUNDS
